theta,sd,y,open_num,cots1,cost2,costt
0.5,0,"[1.0, 0.0, 1.0]",2.0,600.0,707.1287958806388,1307.1287958806388
0.5,1,"[1.0, 0.0, 1.0]",2.0,600.0,554.0618606287578,1154.0618606287578
0.5,2,"[1.0, 0.0, 1.0]",2.0,600.0,490.76702805123045,1090.7670280512305
0.5,3,"[1.0, 0.0, 1.0]",2.0,600.0,568.474258178938,1168.474258178938
0.5,4,"[1.0, 0.0, 1.0]",2.0,600.0,573.4803141306825,1173.4803141306825
1.25,0,"[1.0, 0.0, 1.0]",2.0,600.0,751.4588197425028,1351.4588197425028
1.25,1,"[1.0, 0.0, 1.0]",2.0,600.0,598.3918844906218,1198.3918844906218
1.25,2,"[1.0, 0.0, 1.0]",2.0,600.0,535.0970519130942,1135.0970519130942
1.25,3,"[1.0, 0.0, 1.0]",2.0,600.0,612.804282040802,1212.804282040802
1.25,4,"[1.0, 0.0, 1.0]",2.0,600.0,617.8103379925465,1217.8103379925465
2.0,0,"[1.0, 0.0, 1.0]",2.0,600.0,794.3515344414486,1394.3515344414486
2.0,1,"[1.0, 0.0, 1.0]",2.0,600.0,642.6817182615114,1242.6817182615114
2.0,2,"[1.0, 0.0, 1.0]",2.0,600.0,578.0853640794514,1178.0853640794514
2.0,3,"[1.0, 0.0, 1.0]",2.0,600.0,657.134305902666,1257.134305902666
2.0,4,"[1.0, 0.0, 1.0]",2.0,600.0,661.6424819112858,1261.6424819112858
2.75,0,"[1.0, 0.0, 1.0]",2.0,600.0,832.3189120831069,1432.3189120831069
2.75,1,"[1.0, 0.0, 1.0]",2.0,600.0,682.0840267363562,1282.0840267363562
2.75,2,"[1.0, 0.0, 1.0]",2.0,600.0,617.3709620083298,1217.3709620083298
2.75,3,"[1.0, 0.0, 1.0]",2.0,600.0,698.7110232772316,1298.7110232772316
2.75,4,"[1.0, 0.0, 1.0]",2.0,600.0,699.5659276730257,1299.5659276730257
3.5,0,"[1.0, 0.0, 1.0]",2.0,600.0,865.0915441211885,1465.0915441211885
3.5,1,"[1.0, 0.0, 1.0]",2.0,600.0,716.2655985634212,1316.2655985634212
3.5,2,"[1.0, 0.0, 1.0]",2.0,600.0,652.2918734125894,1252.2918734125894
3.5,3,"[1.0, 0.0, 1.0]",2.0,600.0,732.9657597717928,1332.9657597717928
3.5,4,"[1.0, 0.0, 1.0]",2.0,600.0,731.6393329863431,1331.639332986343
4.25,0,"[1.0, 0.0, 1.0]",2.0,600.0,897.5249716323294,1497.5249716323294
4.25,1,"[1.0, 0.0, 1.0]",2.0,600.0,748.3449274708325,1348.3449274708325
4.25,2,"[1.0, 0.0, 1.0]",2.0,600.0,683.766918293958,1283.766918293958
4.25,3,"[1.0, 0.0, 1.0]",2.0,600.0,764.5266041467225,1364.5266041467225
4.25,4,"[1.0, 0.0, 1.0]",2.0,600.0,762.4695415262122,1362.4695415262122
5.0,0,"[1.0, 0.0, 1.0]",2.0,600.0,929.1807450208498,1529.1807450208498
5.0,1,"[1.0, 0.0, 1.0]",2.0,600.0,779.2032155224824,1379.2032155224824
5.0,2,"[1.0, 0.0, 1.0]",2.0,600.0,714.0435911303655,1314.0435911303655
5.0,3,"[1.0, 0.0, 1.0]",2.0,600.0,795.0710282465907,1395.0710282465907
5.0,4,"[1.0, 0.0, 1.0]",2.0,600.0,792.8533467600801,1392.85334676008
5.75,0,"[1.0, 0.0, 1.0]",2.0,600.0,960.0881320503931,1560.0881320503931
5.75,1,"[1.0, 0.0, 1.0]",2.0,600.0,809.28194253166,1409.28194253166
5.75,2,"[1.0, 0.0, 1.0]",2.0,600.0,743.7216763315537,1343.7216763315537
5.75,3,"[1.0, 0.0, 1.0]",2.0,600.0,825.2454628868943,1425.2454628868943
5.75,4,"[1.0, 0.0, 1.0]",2.0,600.0,822.7320922219126,1422.7320922219126
6.5,0,"[1.0, 0.0, 1.0]",2.0,600.0,990.76902012542,1590.76902012542
6.5,1,"[1.0, 0.0, 1.0]",2.0,600.0,839.1036025091389,1439.103602509139
6.5,2,"[1.0, 0.0, 1.0]",2.0,600.0,773.1694276706583,1373.1694276706583
6.5,3,"[1.0, 0.0, 1.0]",2.0,600.0,855.1883981998719,1455.188398199872
6.5,4,"[1.0, 0.0, 1.0]",2.0,600.0,852.2685605032489,1452.2685605032489
7.25,0,"[1.0, 0.0, 1.0]",2.0,600.0,1021.2582719245977,1621.2582719245977
7.25,1,"[1.0, 0.0, 1.0]",2.0,600.0,868.7141229362496,1468.7141229362496
7.25,2,"[1.0, 0.0, 1.0]",2.0,600.0,802.4062072866409,1402.406207286641
7.25,3,"[1.0, 0.0, 1.0]",2.0,600.0,884.8248566178117,1484.8248566178117
7.25,4,"[1.0, 0.0, 1.0]",2.0,600.0,881.7074190987287,1481.7074190987287
8.0,0,"[1.0, 0.0, 1.0]",2.0,600.0,1051.3721373334786,1651.3721373334786
8.0,1,"[1.0, 0.0, 1.0]",2.0,600.0,898.1932876851345,1498.1932876851345
8.0,2,"[1.0, 0.0, 1.0]",2.0,600.0,831.44361775175,1431.44361775175
8.0,3,"[1.0, 0.0, 1.0]",2.0,600.0,914.21259643395,1514.21259643395
8.0,4,"[1.0, 0.0, 1.0]",2.0,600.0,910.9874767951858,1510.9874767951858
0.5,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1203.31115623116,2103.31115623116
0.5,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,972.655328671801,1872.655328671801
0.5,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,879.6065983161891,1779.606598316189
0.5,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,999.4991295773268,1899.4991295773268
0.5,4,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1003.822612934965,1903.822612934965
1.25,0,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1237.382097914362,2137.382097914362
1.25,1,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1005.7099324289834,1905.7099324289834
1.25,2,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,912.3962297639544,1812.3962297639544
1.25,3,"[1.0, 1.0, 1.0, 0.0]",3.0,900.0,1032.399958235435,1932.399958235435
