"(I,J,L)",theta,time_cost,#O,#A,cost1,cost2,obj,25th,95th
"(6, 3, 3)",2.0,13.605,2.0,3.0,600.0,662.936,1262.936,1245.301,1336.679
"(6, 3, 3)",4.0,7.358,2.0,3.0,600.0,724.658,1324.658,1298.084,1405.746
"(6, 3, 3)",0.5,9.768,2.0,3.0,600.0,577.29,1177.29,1157.328,1259.608
"(6, 3, 3)",8.0,6.12,2.0,3.0,600.0,889.483,1489.483,1473.559,1578.377
"(6, 3, 3)",1.0,9.959,2.0,3.0,600.0,606.302,1206.302,1186.882,1286.184
"(9, 4, 4)",0.5,74.719,3.0,4.0,900.0,982.465,1882.465,1847.713,2005.316
"(9, 4, 4)",2.0,87.686,3.0,4.0,900.0,1048.175,1948.175,1913.735,2069.696
"(9, 4, 4)",1.0,71.531,3.0,4.0,900.0,1004.709,1904.709,1869.867,2028.041
"(9, 4, 4)",8.0,47.643,3.0,4.0,900.0,1263.65,2163.65,2143.194,2250.366
"(9, 4, 4)",4.0,82.91,3.0,4.0,900.0,1131.693,2031.693,2001.097,2135.884
"(12, 5, 5)",8.0,90.16,4.0,4.999999999999999,1200.0,1083.092,2283.092,2255.796,2407.007
"(12, 5, 5)",1.0,100.101,4.0,5.0,1200.0,930.862,2130.862,2102.847,2254.431
"(12, 5, 5)",4.0,96.792,4.0,5.0,1200.0,996.451,2196.451,2168.798,2320.624
"(12, 5, 5)",2.0,106.353,4.0,5.0,1200.0,952.817,2152.817,2125.217,2276.761
"(12, 5, 5)",0.5,108.866,4.0,5.0,1200.0,919.733,2119.733,2091.521,2243.033
"(15, 6, 6)",0.5,380.343,5.0,6.0,1500.0,1281.314,2781.314,2739.05,2947.375
"(15, 6, 6)",8.0,343.94,5.0,6.0,1500.0,1521.135,3021.135,2951.396,3163.35
"(15, 6, 6)",4.0,308.22,5.0,6.0,1500.0,1389.995,2889.995,2846.69,3037.724
"(15, 6, 6)",1.0,370.39,5.0,6.0,1500.0,1294.985,2794.985,2751.588,2960.009
"(15, 6, 6)",2.0,335.463,5.0,6.0,1500.0,1266.938,2766.938,2776.596,2984.956
