"(I,J,L)",theta,time_cost,open_num,drone_num,cost1,cost2,obj,95th
"(6, 3, 3)",8.0,4.69182,2.0,3.0,600.0,919.7956556582794,1519.7956556582794,1622.3780911355675
"(6, 3, 3)",4.0,4.901,2.0,3.0,600.0,754.5240168018963,1354.5240168018963,1455.769046252191
"(6, 3, 3)",2.0,4.99008,2.0,3.0,600.0,664.5267780204782,1264.526778020478,1367.0827484064057
"(6, 3, 3)",1.0,3.97708,2.0,3.0,600.0,608.3358006152923,1208.3358006152923,1309.9524487718897
"(6, 3, 3)",0.5,2.97114,2.0,3.0,600.0,578.2894989862926,1178.2894989862925,1278.4272899796204
"(9, 4, 4)",8.0,72.40868,3.0,4.0,900.0,1337.2823208828054,2237.2823208828054,2387.6832066145626
"(9, 4, 4)",2.0,38.73812,3.0,4.0,900.0,1076.8355434743316,1976.8355434743316,2128.6841083086874
"(9, 4, 4)",1.0,37.3512,3.0,4.0,900.0,1033.3096777336739,1933.309677733674,2085.890769999158
"(9, 4, 4)",0.5,38.055040000000005,3.0,4.0,900.0,1011.4043608567026,1911.4043608567026,2063.277215777938
"(9, 4, 4)",4.0,32.91142,3.0,4.0,900.0,1163.8697172775505,2063.8697172775505,2216.016064618101
"(12, 5, 5)",0.5,167.67964,4.0,5.0,1200.0,924.6525848695195,2124.6525848695196,2275.505095537578
"(15, 6, 6)",2.0,375.73598000000004,4.0,6.0,1200.0,1182.3158808085514,2382.3158808085514,2560.1754222383206
"(15, 6, 6)",1.0,307.62066,4.0,6.0,1200.0,1153.2001374288188,2353.2001374288184,2528.807366928478
"(15, 6, 6)",0.5,154.62872,4.0,6.0,1200.0,1137.015953174334,2337.015953174334,2514.4797730809637
"(12, 5, 5)",8.0,627.25112,4.0,5.0,1200.0,1187.2574072938396,2387.2574072938396,2533.481675787719
"(12, 5, 5)",4.0,455.58212000000003,4.0,5.0,1200.0,1048.4266327322043,2248.4266327322043,2395.443357069279
"(12, 5, 5)",2.0,247.50304,4.0,5.0,1200.0,978.9741791368217,2178.9741791368215,2328.9058979465763
"(12, 5, 5)",1.0,213.60262000000003,4.0,5.0,1200.0,944.1693110227291,2144.169311022729,2293.845274458866
"(15, 6, 6)",4.0,353.60136,4.0,6.0,1200.0,1238.383764306597,2438.383764306597,2616.9565165815247
"(15, 6, 6)",8.0,574.5284800000001,4.0,6.0,1200.0,1348.623332186343,2548.623332186343,2727.7108363715543
